nom,region,departement,email,groupe,circonscription
M. Abdelkader Lahmar,Auvergne-Rhône-Alpes,Rhône,abdelkader.lahmar@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Rhône (7ecirconscription)
M. Alexandre Portier,Auvergne-Rhône-Alpes,Rhône,alexandre.portier@assemblee-nationale.fr,Droite Républicaine,Rhône (9ecirconscription)
M. Alexis Jolly,Auvergne-Rhône-Alpes,Isère,alexis.jolly@assemblee-nationale.fr,Rassemblement National,Isère (6ecirconscription)
M. Alim Latrèche,Auvergne-Rhône-Alpes,Isère,alim.latreche@assemblee-nationale.fr,Ensemble pour la République,Isère (1recirconscription)
M. Antoine Valentin,Auvergne-Rhône-Alpes,Haute-Savoie,antoine.valentin@assemblee-nationale.fr,Union des droites pour la République,Haute-Savoie (3ecirconscription)
M. Antoine Vermorel-Marques,Auvergne-Rhône-Alpes,Loire,antoine.vermorel@assemblee-nationale.fr,Droite Républicaine,Loire (5ecirconscription)
M. Boris Tavernier,Auvergne-Rhône-Alpes,Rhône,boris.tavernier@assemblee-nationale.fr,Écologiste et Social,Rhône (2ecirconscription)
M. Cyrille Isaac-Sibille,Auvergne-Rhône-Alpes,Rhône,Cyrille.Isaac-Sibille@assemblee-nationale.fr,Les Démocrates,Rhône (12ecirconscription)
M. Didier Padey,Auvergne-Rhône-Alpes,Savoie,didier.padey@assemblee-nationale.fr,Les Démocrates,Savoie (1recirconscription)
M. Emmanuel Mandon,Auvergne-Rhône-Alpes,Loire,emmanuel.mandon@assemblee-nationale.fr,Les Démocrates,Loire (3ecirconscription)
M. Fabrice Brun,Auvergne-Rhône-Alpes,Ardèche,Fabrice.Brun@assemblee-nationale.fr,Droite Républicaine,Ardèche (3ecirconscription)
M. Gabriel Amard,Auvergne-Rhône-Alpes,Rhône,gabriel.amard@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Rhône (6ecirconscription)
